Αρχικό σήμα, FCS, Σήμα προς αποστολή, Λαμβανόμενο σήμα, Έλεγχος από τον αλγόριθμο, Πραγματικός έλεγχος, Bits που αλλοιώθηκαν
01111001111011011100, 11100, 0111100111101101110011100, 0111100111101101110011100, True, True, 0
01111011010101101010, 10111, 0111101101010110101010111, 0111101101010110101010111, True, True, 0
01101000000011111011, 11000, 0110100000001111101111000, 0110100000001111101111000, True, True, 0
00110010111111111010, 01101, 0011001011111111101001101, 0011001011111111101001101, True, True, 0
10001100010010011000, 01110, 1000110001001001100001110, 1000110001001001100001110, True, True, 0
10101011000111110100, 00001, 1010101100011111010000001, 1010101100011111010000001, True, True, 0
10011001111111111010, 00110, 1001100111111111101000110, 1001100111111111101000110, True, True, 0
01101001111110001000, 10010, 0110100111111000100010010, 0110100111111000100010010, True, True, 0
01011010010011000001, 10010, 0101101001001100000110010, 0101101001001100000110010, True, True, 0
11011100011000110101, 01110, 1101110001100011010101110, 1101110001100011010101110, True, True, 0
00101110010111111001, 00101, 0010111001011111100100101, 0010111001011111100100101, True, True, 0
00010010100100100111, 11110, 0001001010010010011111110, 0001001010010010011111110, True, True, 0
00110011101111011011, 11010, 0011001110111101101111010, 0011001110111101101111010, True, True, 0
10011011000100001011, 01110, 1001101100010000101101110, 1001101100010000101101110, True, True, 0
11101010010001001110, 10100, 1110101001000100111010100, 1110101001000100111010100, True, True, 0
00111001101101011111, 10000, 0011100110110101111110000, 0011100110110101111110000, True, True, 0
11011000110110100100, 11011, 1101100011011010010011011, 1101100011011010010011011, True, True, 0
11011001010100000010, 10010, 1101100101010000001010010, 1101100101010000001010010, True, True, 0
01111010010100101000, 00010, 0111101001010010100000010, 0111101001010010100000010, True, True, 0
11110000111101010101, 00110, 1111000011110101010100110, 1111000011110101010100110, True, True, 0
01001101111111100010, 01001, 0100110111111110001001001, 0100110111111110001001001, True, True, 0
10011111111101111111, 11100, 1001111111110111111111100, 1001111111110111111111100, True, True, 0
10010100000000010100, 00100, 1001010000000001010000100, 1001010000000001010000100, True, True, 0
11111110111100011001, 11000, 1111111011110001100111000, 1111111011110001100111000, True, True, 0
01100110101110011101, 11101, 0110011010111001110111101, 0110011010111001110111101, True, True, 0
01100111001111010000, 11101, 0110011100111101000011101, 0110011100111101000011101, True, True, 0
10010000010100010001, 00110, 1001000001010001000100110, 1001000001010001000100110, True, True, 0
00101011111100011001, 11100, 0010101111110001100111100, 0010101111110001100111100, True, True, 0
00110001011101110100, 11101, 0011000101110111010011101, 0011000101110111010011101, True, True, 0
00111001101100101011, 01011, 0011100110110010101101011, 0011100110110010101101011, True, True, 0
10101000100100110100, 11101, 1010100010010011010011101, 1010100010010011010011101, True, True, 0
11001000001111010100, 01101, 1100100000111101010001101, 1100100000111101010001101, True, True, 0
00010000000010101111, 10011, 0001000000001010111110011, 0001000000001010111110011, True, True, 0
00010111111100110001, 11100, 0001011111110011000111100, 0001011111110011000111100, True, True, 0
00100110011011101110, 11111, 0010011001101110111011111, 0010011001101110111011111, True, True, 0
11100111011000011101, 10010, 1110011101100001110110010, 1110011101100001110110010, True, True, 0
01100000010101011011, 11010, 0110000001010101101111010, 0110000001010101101111010, True, True, 0
00011011100000010000, 11101, 0001101110000001000011101, 0001101110000001000011101, True, True, 0
00001101001010000011, 01101, 0000110100101000001101101, 0000110100101000001101101, True, True, 0
11101001000101000011, 11100, 1110100100010100001111100, 1110100100010100001111100, True, True, 0
11011001101001100100, 11011, 1101100110100110010011011, 1101100110100110010011011, True, True, 0
10100010011111010011, 01101, 1010001001111101001101101, 1010001001111101001101101, True, True, 0
00000111100101101101, 10010, 0000011110010110110110010, 0000011110010110110110010, True, True, 0
01110101101101010101, 01010, 0111010110110101010101010, 0111010110110101010101010, True, True, 0
11001011000000110101, 10110, 1100101100000011010110110, 1100101100000011010110110, True, True, 0
11000011101011111101, 11111, 1100001110101111110111111, 1100001110101111110111111, True, True, 0
00010111010101011001, 11011, 0001011101010101100111011, 0001011101010101100111011, True, True, 0
00001100110100110011, 11111, 0000110011010011001111111, 0000110011010011001111111, True, True, 0
01000000100001000100, 10001, 0100000010000100010010001, 0100000010000100010010001, True, True, 0
00101111101101001010, 10000, 0010111110110100101010000, 0010111110110100101010000, True, True, 0
00100011110101100110, 10100, 0010001111010110011010100, 0010001111010110011010100, True, True, 0
00100101011000100001, 10110, 0010010101100010000110110, 0010010101100010000110110, True, True, 0
10011011100000011011, 11000, 1001101110000001101111000, 1001101110000001101111000, True, True, 0
01011010000110011000, 01010, 0101101000011001100001010, 0101101000011001100001010, True, True, 0
00000000101000010100, 01010, 0000000010100001010001010, 0000000010100001010001010, True, True, 0
11011010000010111101, 00111, 1101101000001011110100111, 1101101000001011110100111, True, True, 0
00000011011011010010, 00011, 0000001101101101001000011, 0000001101101101001000011, True, True, 0
00110100111010100110, 10010, 0011010011101010011010010, 0011010011101010011010010, True, True, 0
11001011010000001101, 11111, 1100101101000000110111111, 1100101101000000110111111, True, True, 0
00001000111111011110, 01000, 0000100011111101111001000, 0000100011111101111001000, True, True, 0
11101001110100110101, 11011, 1110100111010011010111011, 1110100111010011010111011, True, True, 0
00100100011100010110, 00000, 0010010001110001011000000, 0010010001110001011000000, True, True, 0
10111101101011010011, 10101, 1011110110101101001110101, 1011110110101101001110101, True, True, 0
00101111010110001100, 01111, 0010111101011000110001111, 0010111101011000110001111, True, True, 0
01001100011101100101, 10010, 0100110001110110010110010, 0100110001110110010110010, True, True, 0
00010001110010011001, 11110, 0001000111001001100111110, 0001000111001001100111110, True, True, 0
01010000010101001001, 01000, 0101000001010100100101000, 0101000001010100100101000, True, True, 0
00001111011000111100, 10001, 0000111101100011110010001, 0000111101100011110010001, True, True, 0
01010111000100000100, 10011, 0101011100010000010010011, 0101011100010000010010011, True, True, 0
10100010010100101100, 01100, 1010001001010010110001100, 1010001001010010110001100, True, True, 0
10011010010100011000, 11000, 1001101001010001100011000, 1001101001010001100011000, True, True, 0
11111001101010110010, 01111, 1111100110101011001001111, 1111100110101011001001111, True, True, 0
01000011100011111000, 00010, 0100001110001111100000010, 0100001110001111100000010, True, True, 0
11100101000101000011, 11001, 1110010100010100001111001, 1110010100010100001111001, True, True, 0
10100001001011111111, 10111, 1010000100101111111110111, 1010000100101111111110111, True, True, 0
11110010001010101000, 00100, 1111001000101010100000100, 1111001000101010100000100, True, True, 0
11011010100110100000, 11001, 1101101010011010000011001, 1101101010011010000011001, True, True, 0
11000010100101001100, 11011, 1100001010010100110011011, 1100001010010100110011011, True, True, 0
11011011111100111110, 00001, 1101101111110011111000001, 1101101111110011111000001, True, True, 0
10100000011111011011, 10011, 1010000001111101101110011, 1010000001111101101110011, True, True, 0
01010100101111111010, 01001, 0101010010111111101001001, 0101010010111111101001001, True, True, 0
00010010000100100010, 00010, 0001001000010010001000010, 0001001000010010001000010, True, True, 0
01001011010001001001, 00011, 0100101101000100100100011, 0100101101000100100100011, True, True, 0
00010100101110101110, 00011, 0001010010111010111000011, 0001010010111010111000011, True, True, 0
00110010111101110100, 10011, 0011001011110111010010011, 0011001011110111010010011, True, True, 0
01000010111001011110, 10010, 0100001011100101111010010, 0100001011100101111010010, True, True, 0
11010001011111010100, 00010, 1101000101111101010000010, 1101000101111101010000010, True, True, 0
10000101101000000111, 10100, 1000010110100000011110100, 1000010110100000011110100, True, True, 0
10001110101101011010, 11111, 1000111010110101101011111, 1000111010110101101011111, True, True, 0
00001101010011011010, 00010, 0000110101001101101000010, 0000110101001101101000010, True, True, 0
10110010111101011000, 10000, 1011001011110101100010000, 1011001011110101100010000, True, True, 0
00101100010011110010, 11100, 0010110001001111001011100, 0010110001001111001011100, True, True, 0
00001111001100010111, 00110, 0000111100110001011100110, 0000111100110001011100110, True, True, 0
01010001010001100010, 11010, 0101000101000110001011010, 0101000101000110001011010, True, True, 0
00111111111100111000, 00001, 0011111111110011100000001, 0011111111110011100000001, True, True, 0
10000100110101000010, 10110, 1000010011010100001010110, 1000010011010100001010110, True, True, 0
11010000101111001011, 01011, 1101000010111100101101011, 1101000010111100101101011, True, True, 0
10110001011100001011, 00011, 1011000101110000101100011, 1011000101110000101100011, True, True, 0
10010000100011010010, 10000, 1001000010001101001010000, 1001000010001101001010000, True, True, 0
01111000100101001000, 00000, 0111100010010100100000000, 0111100010010100100000000, True, True, 0
00000110110110001000, 11100, 0000011011011000100011100, 0000011011011000100011100, True, True, 0
01100111110100011010, 11111, 0110011111010001101011111, 0110011111010001101011111, True, True, 0
01011111011111001110, 00110, 0101111101111100111000110, 0101111101111100111000110, True, True, 0
11110110100110100100, 11100, 1111011010011010010011100, 1111011010011010010011100, True, True, 0
00111111000101010011, 01101, 0011111100010101001101101, 0011111100010101001101101, True, True, 0
01110001000000110000, 11000, 0111000100000011000011000, 0111000100000011000011000, True, True, 0
01110011110111001111, 00101, 0111001111011100111100101, 0111001111011100111100101, True, True, 0
11101011111110001101, 11101, 1110101111111000110111101, 1110101111111000110111101, True, True, 0
10110100010110001010, 00100, 1011010001011000101000100, 1011010001011000100000100, False, False, 1
00000110010100000001, 00001, 0000011001010000000100001, 0000011001010000000100001, True, True, 0
11111110001111111100, 10000, 1111111000111111110010000, 1111111000111111110010000, True, True, 0
11111000001001111011, 11000, 1111100000100111101111000, 1111100000100111101111000, True, True, 0
11100010100101100000, 01010, 1110001010010110000001010, 1110001010010110000001010, True, True, 0
01100001100011011110, 10010, 0110000110001101111010010, 0110000110001101111010010, True, True, 0
01110000010010110111, 00000, 0111000001001011011100000, 0111000001001011011100000, True, True, 0
00101011000000110001, 11001, 0010101100000011000111001, 0010101100000011000111001, True, True, 0
11011100100111000001, 11101, 1101110010011100000111101, 1101110010011100000111101, True, True, 0
11001010110000110100, 00100, 1100101011000011010000100, 1100101011000011010000100, True, True, 0
00000001101111100010, 11011, 0000000110111110001011011, 0000000110111110001011011, True, True, 0
01001101011100101100, 11011, 0100110101110010110011011, 0100110101110010110011011, True, True, 0
11001000110101100011, 10111, 1100100011010110001110111, 1100100011010110001110111, True, True, 0
10101111001000010011, 10010, 1010111100100001001110010, 1010111100100001001110010, True, True, 0
00011110100010101000, 11101, 0001111010001010100011101, 0001111010001010100011101, True, True, 0
10100101110101001110, 00100, 1010010111010100111000100, 1010010111010100111000100, True, True, 0
01100010110101011000, 11010, 0110001011010101100011010, 0110001011010101100011010, True, True, 0
00110100011000110011, 01011, 0011010001100011001101011, 0011010001100011001101011, True, True, 0
11001001000001110001, 11011, 1100100100000111000111011, 1100100100000111000111011, True, True, 0
01111011010101100010, 00001, 0111101101010110001000001, 0111101101010110001000001, True, True, 0
01010111000000111101, 00011, 0101011100000011110100011, 0101011100000011110100011, True, True, 0
01000100110001100011, 00110, 0100010011000110001100110, 0100010011000110001100110, True, True, 0
00011100101000101100, 11000, 0001110010100010110011000, 0001110010100010110011000, True, True, 0
11111011001001010101, 10001, 1111101100100101010110001, 1111101100100101010110001, True, True, 0
01011010011011110100, 01000, 0101101001101111010001000, 0101101001101111010001000, True, True, 0
11111010010101010001, 01000, 1111101001010101000101000, 1111101001010101000101000, True, True, 0
10110000000001101101, 01100, 1011000000000110110101100, 1011000000000110110101100, True, True, 0
10111011001001111000, 01000, 1011101100100111100001000, 1011101100100111100001000, True, True, 0
10000011001000011001, 10101, 1000001100100001100110101, 1000001100100001100110101, True, True, 0
11101011110111010100, 10011, 1110101111011101010010011, 1110101111011101010010011, True, True, 0
00101001111001101100, 10111, 0010100111100110110010111, 0010100111100110110010111, True, True, 0
10011011111000001000, 10000, 1001101111100000100010000, 1001101111100000100010000, True, True, 0
10110001110100110100, 10010, 1011000111010011010010010, 1011000111010011010010010, True, True, 0
11001110011010011011, 00000, 1100111001101001101100000, 1100111001101001101100000, True, True, 0
10001101010011011100, 01111, 1000110101001101110001111, 1000110101001101110001111, True, True, 0
00110110100011111110, 00000, 0011011010001111111000000, 0011011010001111111000000, True, True, 0
10010000100101010100, 10101, 1001000010010101010010101, 1001000010010101010010101, True, True, 0
11010100001111011100, 00001, 1101010000111101110000001, 1101010000111101110000001, True, True, 0
01010000001001111101, 01011, 0101000000100111110101011, 0101000000100111110101011, True, True, 0
11010111110110100110, 01101, 1101011111011010011001101, 1101011111011010011001101, True, True, 0
11010010101011001101, 11010, 1101001010101100110111010, 1101001010101100110111010, True, True, 0
11010111110101000111, 01101, 1101011111010100011101101, 1101011111010100011101101, True, True, 0
11001100010011010100, 01011, 1100110001001101010001011, 1100110001001101010001011, True, True, 0
10001100000100000101, 01111, 1000110000010000010101111, 1000110000010000010101111, True, True, 0
00100110110111001101, 00111, 0010011011011100110100111, 0010011011011100110100111, True, True, 0
10111010001100100110, 10100, 1011101000110010011010100, 1011101000110010011010100, True, True, 0
01010110011001100100, 01000, 0101011001100110010001000, 0101011001100110010001000, True, True, 0
01100001000010000010, 11010, 0110000100001000001011010, 0110000100001000001011010, True, True, 0
01000100011111100110, 10001, 0100010001111110011010001, 0100010001111110011010001, True, True, 0
00101010110101010000, 01111, 0010101011010101000001111, 0010101011010101000001111, True, True, 0
10100100001001111001, 01011, 1010010000100111100101011, 1010010000100111100101011, True, True, 0
00001010101011001110, 10101, 0000101010101100111010101, 0000101010101100111010101, True, True, 0
